Entity;Text;Start;End;Name
Time;past week..;5;9;week
Person;George W. Richards;0;18;George W. Richards
Organization;Creekside Builders, LLC - Westgate Proforma-Phillip Allen.xls;0;23;Creekside Builders, LLC
Person;Creekside Builders, LLC - Westgate Proforma-Phillip Allen.xls;44;51;Phillip
Person; George, Here sales numbers from Reagan: As you can see his units sold at a variety of prices per square foot.;1;7;George
Person; George, Here sales numbers from Reagan: As you can see his units sold at a variety of prices per square foot.;33;39;Reagan
Person;I will follow up with an email and phone call about Cherry Creek.;52;64;Cherry Creek
Person;I am sure Deborah Yates let you know;10;23;Deborah Yates
Person;Phillip Allen;0;13;Phillip Allen
Person;Jeff, What is up with Burnet?;0;4;Jeff
Person;Jeff, What is up with Burnet?;22;28;Burnet
Person;Phillip;0;7;Phillip
Person;Jeff, I need to see the site plan for Burnet.;0;4;Jeff
Person;Jeff, I need to see the site plan for Burnet.;38;44;Burnet
Person;approval from Brenda Key Stone before I can sell this property;14;20;Brenda
Person;Phillip Lucy,;0;12;Phillip Lucy
Person; Brenda, I checked my records and I mailed check #1178 for the normal amount on August 28th.;1;7;Brenda
Time; Brenda, I checked my records and I mailed check #1178 for the normal amount on August 28th.;80;91;August 28th
Location;#29, College Station, TX 77845.;5;20;College Station
Time;If the first one shows up you can treat the 2nd as payment for October.;63;70;October
Person;Phillip Lucy, You wrote fewer checks this month.;0;12;Phillip Lucy
Time;June;0;4;June
Time;July August;0;4;July
Time;July August;5;11;August
Time;Here are my questions on the August bank statement (attached): 1.;29;35;August
Person;Lucy;0;4;Lucy
Time;6.;0;2;6.
Person;Phillip ;0;7;Phillip
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/12/2000;36;51;Phillip K Allen
Date;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/12/2000;63;73;09/12/2000
Time;11:22 AM;0;8;11:22 AM
Date;09/11/2000;0;10;09/11/2000
Person;Phillip K Allen/HOU/ECT@ECT cc:;0;15;Phillip K Allen
Person;Phillip, Attached is the list.;0;7;Phillip
Person;Thanks, Mike  http://www.hearme.com/vc2/?chnlOwnr=pallen@enron.com ;8;12;Mike
Person;Forwarded by Phillip K Allen/HOU/ECT on 05/02/2001 05:26 AM;13;28;Phillip K Allen
Time;Forwarded by Phillip K Allen/HOU/ECT on 05/02/2001 05:26 AM;51;56;05:26
Person;Ina Rangel 05/01/2001;0;10;Ina Rangel
Date;Ina Rangel 05/01/2001;11;21;05/01/2001
Time;12:24 PM;0;5;12:24
Person;Phillip K Allen/HOU/ECT@ECT cc:;0;15;Phillip K Allen
Person;Full Name: Phillip Allen;11;24;Phillip Allen
Product;(Desktop, Laptop, Both);0;9;(Desktop,
Product;(Desktop, Laptop, Both);10;17;Laptop,
Time;What are your normal work hours?;26;31;hours
Time;From: 7:00 AM;6;10;7:00
Time;5:00 PM;0;4;5:00
Person; ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/11/2000;37;52;Phillip K Allen
Date; ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/11/2000;64;74;09/11/2000
Time;04:57 PM;0;8;04:57 PM
Person;--------------------------- George Richards <cbpres@austin.rr.com> on 09/08/2000 05:21:49 AM;28;43;George Richards
Date;--------------------------- George Richards <cbpres@austin.rr.com> on 09/08/2000 05:21:49 AM;70;80;09/08/2000
Time;--------------------------- George Richards <cbpres@austin.rr.com> on 09/08/2000 05:21:49 AM;81;92;05:21:49 AM
Person;Phillip Allen <pallen@enron.com> cc:;0;13;Phillip Allen
Person;Larry Lewter <retwell@mail.sanmarcos.net>;0;12;Larry Lewter
Person;Westgate Proforma-Phillip Allen.xls;18;25;Phillip
Location;is Austin that we told you about.;3;9;Austin
Time;As you can tell from the proforma this project should produce a truly exceptional return of over 40% per year over 3 years.;115;122;3 years
Location;Austin and we are introducing new product;0;6;Austin
Location;This is the best project in terms of risk and reward that we have uncovered to date in the Austin market.;91;97;Austin
Location;it is in the Smart Growth Corridor area designated by the City of Austin for preferred development, this will be fast tracked and should be complete in less than 6 months.;66;72;Austin
Time;it is in the Smart Growth Corridor area designated by the City of Austin for preferred development, this will be fast tracked and should be complete in less than 6 months.;162;170;6 months
Location;Austin, which included a detention/retention and filtration pond and street widening.;0;6;Austin
Product;The Lone Star gas line easement in the lower portion of the property is not expected to impact sales significantly.;14;17;gas
Time;The seller accepted our offer Thursday evening with a price of $680,000 and an extended escrow.;30;38;Thursday
Money;The seller accepted our offer Thursday evening with a price of $680,000 and an extended escrow.;63;71;$680,000
Money;This analysis shows your investment at $700,000 for a 50% interest in the profits of the project.;39;47;$700,000
Location;As we discussed in San Marcos, we can also discuss having you invest only in the lots, sell the lots to the construction entity with your profit in the lot.;19;29;San Marcos
Person;Larry Lewter knows an expert in the field in San;0;12;Larry Lewter
Organization;I will send you a package on the property that was prepared by the broker, by Airborne Express today for Saturday delivery.;78;94;Airborne Express
Time;I will send you a package on the property that was prepared by the broker, by Airborne Express today for Saturday delivery.;95;100;today
Time;I will send you a package on the property that was prepared by the broker, by Airborne Express today for Saturday delivery.;105;113;Saturday
Location;A small freakish wind storm with severe 60+mpg downdrafts hit the South part of Austin where we are building 10 town homes.;80;86;Austin
Time;The City shut down the project for a week and it took another week to get every thing back on tract.;37;41;week
Time;The City shut down the project for a week and it took another week to get every thing back on tract.;62;66;week
Time;Then last week I had to take my wife to emergency.;10;14;week
Time;past week..;5;9;week
Person;George W. Richards;0;18;George W. Richards
Organization;Creekside Builders, LLC - Westgate Proforma-Phillip Allen.xls;0;23;Creekside Builders, LLC
Person;Creekside Builders, LLC - Westgate Proforma-Phillip Allen.xls;44;51;Phillip
Person;Jeff, I received the rent roll.;0;4;Jeff
Location;I am going to be in San Marcos this weekend;20;30;San Marcos
Time;I will drive by Friday evening.;16;22;Friday
Time;I will let you know next week if I need to see the inside.;25;29;week
Person;What about getting a look at the site plans for the Burnet deal.;52;58;Burnet
Person;we have to get Brenda happy.;15;21;Brenda
Person;Phillip  9/8 9/7 diff;0;7;Phillip
Location;San Juan;0;8;San Juan
Location;The reason the benchmark report shows net selling San Juan is that the transport positions were rolled in on 9/8.;50;58;San Juan
Location;This added 800 shorts to San Juan and 200 longs to Socal.;25;33;San Juan
Location;Before this adjustment we bought 300 San Juan and sold 800 Socal.;37;45;San Juan
Organization;What about the correlation to Nymex on AECO?;30;35;Nymex
Person;Jeff, You would clearly receive a commission on a deal on the sagewood.;0;4;Jeff
Organization;I am surprised by your request for payment on any type of project in which I might become involved with Creekside.;104;113;Creekside
Person;Phillip ;0;7;Phillip
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/08/2000;36;51;Phillip K Allen
Date;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/08/2000;63;73;09/08/2000
Person;--------------------------- George Richards <cbpres@austin.rr.com> on 09/08/2000 05:35:20;28;43;George Richards
Date;--------------------------- George Richards <cbpres@austin.rr.com> on 09/08/2000 05:35:20;70;80;09/08/2000
Time;--------------------------- George Richards <cbpres@austin.rr.com> on 09/08/2000 05:35:20;81;89;05:35:20
Person;Phillip Allen <pallen@enron.com> cc:;0;13;Phillip Allen
Person;Larry Lewter <retwell@mail.sanmarcos.net>, Diana Zuniga <invest@bga.com>;0;12;Larry Lewter
Money;This would produce an average sq footage of 1233, which would be $73.80 psf at $182,000.;65;71;$73.80
Money;This would produce an average sq footage of 1233, which would be $73.80 psf at $182,000.;79;88;$182,000.
Money;(I thought his sales price was $187,000.);31;41;$187,000.)
Money;At this price psf our 1,376 sf unit would sell for $203,108.;51;60;$203,108.
Person;Phillip, I will call you today to go over this more thoroughly.;0;7;Phillip
Time;Phillip, I will call you today to go over this more thoroughly.;25;30;today
Person;Sincerely, George W. Richards Creekside Builders, LLC  ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/08/2000;11;29;George W. Richards
Organization;Sincerely, George W. Richards Creekside Builders, LLC  ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/08/2000;30;53;Creekside Builders, LLC
Person;Sincerely, George W. Richards Creekside Builders, LLC  ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/08/2000;91;106;Phillip K Allen
Date;Sincerely, George W. Richards Creekside Builders, LLC  ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/08/2000;118;128;09/08/2000
Person;--------------------------- George Richards <cbpres@austin.rr.com> on 09/08/2000 05:21:49 AM;28;43;George Richards
Date;--------------------------- George Richards <cbpres@austin.rr.com> on 09/08/2000 05:21:49 AM;70;80;09/08/2000
Time;--------------------------- George Richards <cbpres@austin.rr.com> on 09/08/2000 05:21:49 AM;81;92;05:21:49 AM
Person;Phillip Allen <pallen@enron.com> cc:;0;13;Phillip Allen
Person;Larry Lewter <retwell@mail.sanmarcos.net>;0;12;Larry Lewter
Person;Westgate Proforma-Phillip Allen.xls;18;25;Phillip
Location;is Austin that we told you about.;3;9;Austin
Time;As you can tell from the proforma this project should produce a truly exceptional return of over 40% per year over 3 years.;115;122;3 years
Location;Austin and we are introducing new product;0;6;Austin
Location;This is the best project in terms of risk and reward that we have uncovered to date in the Austin market.;91;97;Austin
Location;it is in the Smart Growth Corridor area designated by the City of Austin for preferred development, this will be fast tracked and should be complete in less than 6 months.;66;72;Austin
Time;it is in the Smart Growth Corridor area designated by the City of Austin for preferred development, this will be fast tracked and should be complete in less than 6 months.;162;170;6 months
Location;Austin, which included a detention/retention and filtration pond and street widening.;0;6;Austin
Product;The Lone Star gas line easement in the lower portion of the property is not expected to impact sales significantly.;14;17;gas
Time;The seller accepted our offer Thursday evening with a price of $680,000 and an extended escrow.;30;38;Thursday
Money;The seller accepted our offer Thursday evening with a price of $680,000 and an extended escrow.;63;71;$680,000
Money;This analysis shows your investment at $700,000 for a 50% interest in the profits of the project.;39;47;$700,000
Location;As we discussed in San Marcos, we can also discuss having you invest only in the lots, sell the lots to the construction entity with your profit in the lot.;19;29;San Marcos
Person;Larry Lewter knows an expert in the field in San Antonio if you do not know anyone.;0;12;Larry Lewter
Location;Larry Lewter knows an expert in the field in San Antonio if you do not know anyone.;45;56;San Antonio
Organization;I will send you a package on the property that was prepared by the broker, by Airborne Express today for Saturday delivery.;78;94;Airborne Express
Time;I will send you a package on the property that was prepared by the broker, by Airborne Express today for Saturday delivery.;95;100;today
Time;I will send you a package on the property that was prepared by the broker, by Airborne Express today for Saturday delivery.;105;113;Saturday
Location;A small freakish wind storm with severe 60+mpg downdrafts hit the South part of Austin where we are building 10 town homes.;80;86;Austin
Time;The City shut down the project for a week and it took another week to get every thing back on tract.;37;41;week
Time;The City shut down the project for a week and it took another week to get every thing back on tract.;62;66;week
Time;Then last week I had to take my wife to emergency.;10;14;week
Time;past week..;5;9;week
Person;George W. Richards;0;18;George W. Richards
Organization;Creekside Builders, LLC - Westgate Proforma-Phillip Allen.xls;0;23;Creekside Builders, LLC
Person;Creekside Builders, LLC - Westgate Proforma-Phillip Allen.xls;44;51;Phillip
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/06/2000;36;51;Phillip K Allen
Date;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/06/2000;63;73;09/06/2000
Time;03:53 PM;0;8;03:53 PM
Person;--------------------------- Lucy Gonzalez <stagecoachmama@hotmail.com> on 09/06/2000 09:06:45 AM;28;32;Lucy
Date;--------------------------- Lucy Gonzalez <stagecoachmama@hotmail.com> on 09/06/2000 09:06:45 AM;74;84;09/06/2000
Time;--------------------------- Lucy Gonzalez <stagecoachmama@hotmail.com> on 09/06/2000 09:06:45 AM;85;96;09:06:45 AM
Person;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/06/2000;36;51;Phillip K Allen
Date;---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/06/2000;63;73;09/06/2000
Time;02:01 PM;0;8;02:01 PM
Date;Enron-admin@FSDDataSvc.com on 09/06/2000 10:12:33 AM;30;40;09/06/2000
Time;NO LATER THAN CLOSE OF BUSINESS Thursday, September 14.;32;40;Thursday
Time;NO LATER THAN CLOSE OF BUSINESS Thursday, September 14.;42;51;September
Person;- John Arnold ER93FX;2;13;John Arnold
Person;- John Lavorato;2;15;John Lavorato
Person;EPEXWX - Hunter Shively;9;23;Hunter Shively
Person;If you experience technical problems, please call Dennis Ward at FSD Data Services, 713-942-8436.;50;61;Dennis Ward
Person;If you have any questions about this process, you may contact Debbie Nowak at Enron, 713-853-3304, or Christi Smith at Keilty, Goldsmith & Company, 858-450-2554.;62;74;Debbie Nowak
Organization;If you have any questions about this process, you may contact Debbie Nowak at Enron, 713-853-3304, or Christi Smith at Keilty, Goldsmith & Company, 858-450-2554.;78;83;Enron
Person;If you have any questions about this process, you may contact Debbie Nowak at Enron, 713-853-3304, or Christi Smith at Keilty, Goldsmith & Company, 858-450-2554.;102;115;Christi Smith
Organization;If you have any questions about this process, you may contact Debbie Nowak at Enron, 713-853-3304, or Christi Smith at Keilty, Goldsmith & Company, 858-450-2554.;127;146;Goldsmith & Company
Person;that were built by Reagan Lehmann.;19;25;Reagan
Money;22 Units were sold for around $2 million.;30;40;$2 million
Money;($182,000/duplex).;1;9;$182,000
Person;I spoke to Reagan;11;17;Reagan
Money;My bid of 2.7 million is almost $193,000/duplex.;10;21;2.7 million
Money;My bid of 2.7 million is almost $193,000/duplex.;32;40;$193,000
Person;Phillip ;0;7;Phillip
Person;Forwarded by Phillip K Allen/HOU/ECT on 05/01/2001;13;28;Phillip K Allen
Date;Forwarded by Phillip K Allen/HOU/ECT on 05/01/2001;40;50;05/01/2001
Time;2:14 PM --------------------------- Outlook Migration Team@ENRON;0;7;2:14 PM
Date;04/27/2001;0;10;04/27/2001
Time;01:01 PM To:=09Allison Horton/NA/Enron@ENRON, Amir Baig/NA/Enron@ENRON, Brandon Bang=;0;8;01:01 PM
Person;01:01 PM To:=09Allison Horton/NA/Enron@ENRON, Amir Baig/NA/Enron@ENRON, Brandon Bang=;46;55;Amir Baig
Person;Brian Ellis/Corp/Enron@Enron,;0;11;Brian Ellis
Person;Charles Philpott/HR/Cor=;0;16;Charles Philpott
Person;p/Enron@ENRON, Chris P Wood/NA/Enron@Enron, Chris Tull;15;27;Chris P Wood
Person;p/Enron@ENRON, Chris P Wood/NA/Enron@Enron, Chris Tull;44;54;Chris Tull
Time;ith/Corp/Enron@ENRON, Dave June/NA/Enron@ENRON, Donald Sutton/NA/Enron@Enro= n, Felicia Buenrostro/HR/Corp/Enron@ENRON, Johnna Morrison;27;31;June
Person;ith/Corp/Enron@ENRON, Dave June/NA/Enron@ENRON, Donald Sutton/NA/Enron@Enro= n, Felicia Buenrostro/HR/Corp/Enron@ENRON, Johnna Morrison;48;61;Donald Sutton
Person;ith/Corp/Enron@ENRON, Dave June/NA/Enron@ENRON, Donald Sutton/NA/Enron@Enro= n, Felicia Buenrostro/HR/Corp/Enron@ENRON, Johnna Morrison;80;98;Felicia Buenrostro
Person;ith/Corp/Enron@ENRON, Dave June/NA/Enron@ENRON, Donald Sutton/NA/Enron@Enro= n, Felicia Buenrostro/HR/Corp/Enron@ENRON, Johnna Morrison;120;135;Johnna Morrison
Person;/Corp/Enron@ENRON= , Joe Dorn/Corp/Enron@ENRON, Kathryn Schultea/HR/Corp/Enron@ENRON, Leon McD=;21;29;Joe Dorn
Person;/Corp/Enron@ENRON= , Joe Dorn/Corp/Enron@ENRON, Kathryn Schultea/HR/Corp/Enron@ENRON, Leon McD=;48;64;Kathryn Schultea
Person;owell/NA/Enron@ENRON, Leticia Barrios/Corp/Enron@ENRON,;22;37;Leticia Barrios
Person;p/Enron@ENRON, Raj Perubhatla/Corp/Enron@Enron, Shekar Komatireddy/NA/Enron=;15;29;Raj Perubhatla
Person;p/Enron@ENRON, Raj Perubhatla/Corp/Enron@Enron, Shekar Komatireddy/NA/Enron=;48;66;Shekar Komatireddy
Person;@Enron, Andrea Yowman/Corp/Enron@ENRON, Angie O'Brian/HR/Corp/Enron@ENRON, =;8;21;Andrea Yowman
Person;@Enron, Andrea Yowman/Corp/Enron@ENRON, Angie O'Brian/HR/Corp/Enron@ENRON, =;40;53;Angie O'Brian
Person;Bonne Castellano/HR/Corp/Enron@ENRON, Gwynn Gorsuch/NA/Enron@ENRON,;38;51;Gwynn Gorsuch
Person;= Matson/Corp/Enron@ENRON, LaQuitta Washington/HR/Corp/Enron@ENRON, Rick John=;27;46;LaQuitta Washington
Person;son/HR/Corp/Enron@ENRON, Sandra Lighthill/HR/Corp/Enron@ENRON, Valeria A;25;41;Sandra Lighthill
Person;Ho= pe/HOU/ECT@ECT, Charlotte Brown/HR/Corp/Enron@ENRON, Ronald Fain/HR/Corp/En=;20;35;Charlotte Brown
Person;Ho= pe/HOU/ECT@ECT, Charlotte Brown/HR/Corp/Enron@ENRON, Ronald Fain/HR/Corp/En=;57;68;Ronald Fain
Person;ron@ENRON, Gary Fitch/HR/Corp/Enron@Enron, Anna Harris/HR/Corp/Enron@ENRON,= Keith Jones/HR/Corp/Enron@ENRON,;11;21;Gary Fitch
Person;ron@ENRON, Gary Fitch/HR/Corp/Enron@Enron, Anna Harris/HR/Corp/Enron@ENRON,= Keith Jones/HR/Corp/Enron@ENRON,;43;54;Anna Harris
Person;ron@ENRON, Gary Fitch/HR/Corp/Enron@Enron, Anna Harris/HR/Corp/Enron@ENRON,= Keith Jones/HR/Corp/Enron@ENRON,;77;82;Keith
Person;Kristi Monson/NA/Enron@Enron, Bobbie McNi=;0;13;Kristi Monson
Person;el/HR/Corp/Enron@ENRON, John Stabler/HR/Corp/Enron@ENRON,;24;36;John Stabler
Person;A/Enron@Enron, James Gramke/NA/Enron@ENRON, Blair Hicks/NA/Enron@ENRON, Jen=;15;27;James Gramke
Person;A/Enron@Enron, James Gramke/NA/Enron@ENRON, Blair Hicks/NA/Enron@ENRON, Jen=;44;55;Blair Hicks
Organization;Enron Communications@Enron Communications, Jim Lit=;0;5;Enron
Person;Enron Communications@Enron Communications, Jim Lit=;43;46;Jim
Person;tle/Enron@EnronXGate, Dale Lukert/NA/Enron@ENRON,;22;33;Dale Lukert
Person;Donald Martin/NA/;0;13;Donald Martin
Person;RON, Andrew Mattei/NA/Enron@ENRON,;5;18;Andrew Mattei
Person;Darvin Mitchell/NA/Enron@ENRON, Mark Old=;0;15;Darvin Mitchell
Person;Ramon Pizarro/ENRON_DEVE=;0;13;Ramon Pizarro
Person;LOPMENT@ENRON_DEVELOPMENT, Natalie Rau/NA/Enron@ENRON, William Redick/NA/En=;27;38;Natalie Rau
Person;LOPMENT@ENRON_DEVELOPMENT, Natalie Rau/NA/Enron@ENRON, William Redick/NA/En=;55;69;William Redick
Person;ON, Gary Simmons/NA/Enron@Enron, Delaney Trimble/NA/Enron@ENRON, David Upto= n/NA/Enron@ENRON, Mike Boegler/HR/Corp/Enron@ENRON,;95;99;Mike
Person;Gabriel Franco/NA/Enron@Enron, Randy Gross/HR/Corp/Enron@Enron, =;0;14;Gabriel Franco
Person;Gabriel Franco/NA/Enron@Enron, Randy Gross/HR/Corp/Enron@Enron, =;31;36;Randy
Person;Arthur Johnson/HR/Corp/Enron@Enron, Danny Jones/HR/Corp/Enron@ENRON, John O= gden;0;14;Arthur Johnson
Person;Lance Stanley/HR/Corp/Enron@ENRON, Frank Ermis/HOU/ECT@ECT, J=;35;46;Frank Ermis
Person;/HOU/ECT@ECT, Keith Holst/HOU;14;25;Keith Holst
Person;/ECT@ect= , Matthew Lenhart/HOU/ECT@ECT, Mike Grigsby/HOU/ECT@ECT, Monique Sanchez/HO=;41;53;Mike Grigsby
Person;/ECT@ect= , Matthew Lenhart/HOU/ECT@ECT, Mike Grigsby/HOU/ECT@ECT, Monique Sanchez/HO=;67;82;Monique Sanchez
Person;Phillip K Allen/HOU/ECT@ECT, Randall L Gay/HOU/ECT@ECT, Tori Kuy=;0;15;Phillip K Allen
Person;Phillip K Allen/HOU/ECT@ECT, Randall L Gay/HOU/ECT@ECT, Tori Kuy=;29;42;Randall L Gay
Person;kendall/HOU/ECT@ECT, Brenda H Fletcher/HOU/ECT@ECT,;21;27;Brenda
Person;Mike Potter/NA/Enron@Enron, Na=;0;4;Mike
Person;Suzanne Calcagno/NA/Enron@Enron, Alvin Thompson;33;47;Alvin Thompson
Person;/Co= rp/Enron@Enron, Cynthia Franklin/Corp/Enron@ENRON, Jesse Villarreal/HOU/ECT= @ECT, Joan Collins/HOU/EES@EES, Joe A Casas/HOU/ECT@ECT, Kelly Loocke/ENRON= @enronXgate, Lia Halstead/NA/Enron@ENRON, Meredith Homco/HOU/ECT@ECT, Rober=;21;37;Cynthia Franklin
Organization;Tracy Wood/NA/Enron@ENRON, Gabriel Fuzat/Enron Communications@Enron Commun= ications, Jack Netek/Enron Communications@Enron Communications, Lam Nguyen/=;41;46;Enron
Organization;Tracy Wood/NA/Enron@ENRON, Gabriel Fuzat/Enron Communications@Enron Commun= ications, Jack Netek/Enron Communications@Enron Communications, Lam Nguyen/=;97;102;Enron
Person;Jessica Hangach/NYC/MGUSA@MGUSA, Kathy Gagel/NYC/MGUSA@MGUSA, Lisa Goulart/=;33;38;Kathy
Time;the morning after your mailbox is m= igrated.;4;11;morning
Organization;ing to the Enron network (LAN).;11;16;Enron
Person;Ina, I scheduled a meeting with Jean Mrha tomorrow at 3:30 ----------------------;32;41;Jean Mrha
Time;Ina, I scheduled a meeting with Jean Mrha tomorrow at 3:30 ----------------------;54;58;3:30
Person;Forwarded by Phillip K Allen/HOU/ECT on 09/06/2000;13;28;Phillip K Allen
Date;Forwarded by Phillip K Allen/HOU/ECT on 09/06/2000;40;50;09/06/2000
Person;Jeff Richter;0;4;Jeff
Date;09/06/2000;0;10;09/06/2000
Date;07:39;0;5;07:39
Person;Phillip K Allen/HOU/ECT@ECT cc:;0;15;Phillip K Allen
Person;Forwarded by Jeff Richter/HOU/ECT on 09/06/2000 09:45 AM ---------------------------;13;17;Jeff
Date;Forwarded by Jeff Richter/HOU/ECT on 09/06/2000 09:45 AM ---------------------------;37;47;09/06/2000
Person;Mike Swerzbin/HOU/ECT@ECT, Robert Badeer/HOU/ECT@ECT,;0;4;Mike
Person;Tim Belden/HOU/ECT@ECT, Jeff Richter/HOU/ECT@ECT,;0;3;Tim
Person;Tim Belden/HOU/ECT@ECT, Jeff Richter/HOU/ECT@ECT,;24;28;Jeff
Person;Matt Motley/PDX/;0;11;Matt Motley
Person;Forwarded by Tim Belden/HOU/ECT on 09/06/2000 07:27;13;16;Tim
Date;Forwarded by Tim Belden/HOU/ECT on 09/06/2000 07:27;35;45;09/06/2000
Organization;Enron Capital &;0;5;Enron
Date;09/05/2000;0;10;09/05/2000
Person;Tim Belden;0;3;Tim
Person;/HOU/ECT@ECT, Doug Gilbert-Smith/Corp/Enron@ENRON, Mike;51;55;Mike
Product;The utility infrastructure simply cannot handle these loads at the distribution level and ultimatley distributed generation will be required for power quality reasons.;145;150;power
Location;The City of Austin, TX has experienced 300+ MW of load growth this year due to server farms and technology companies.;12;18;Austin
Time;There is a 100 MW server farm trying to hook up to HL&P as we speak and they cannot deliver for 12 months due to distribution infrastructure issues.;96;105;12 months
Location;Obviously, Seattle, Porltand, Boise, Denver, San Fran and San Jose in your markets are in for a rude awakening in the next 2-3 years.;11;18;Seattle
Location;Obviously, Seattle, Porltand, Boise, Denver, San Fran and San Jose in your markets are in for a rude awakening in the next 2-3 years.;37;43;Denver
Time;Obviously, Seattle, Porltand, Boise, Denver, San Fran and San Jose in your markets are in for a rude awakening in the next 2-3 years.;125;132;3 years
Date;Forwarded by Kevin M Presto/HOU/ECT on 09/05/2000;39;49;09/05/2000
Organization;Enron North America Corp. From: John D Suarez;0;5;Enron
Location;Enron North America Corp. From: John D Suarez;6;19;North America
Date;09/05/2000 01:45 PM;0;10;09/05/2000
Time;09/05/2000 01:45 PM;11;19;01:45 PM
Date;Forwarded by John D Suarez/HOU/ECT on 09/05/2000 01:46;38;48;09/05/2000
Person;--------------------------- George Hopley 09/05/2000 11:41 AM;28;34;George
Date;--------------------------- George Hopley 09/05/2000 11:41 AM;42;52;09/05/2000
Organization;To: John D Suarez/HOU/ECT@ECT, Suresh Vasan/Enron Communications@ENRON;44;49;Enron
Time;( September 05, 2000 );2;11;September
Organization;In 1997, a little-known Silicon Valley company called Exodus Communications opened a 15,000-square-foot data center in Tukwila.;54;60;Exodus
Organization;Exodus is now wrapping up construction on a new 13-acre, 576,000-square-foot data center less than;0;6;Exodus
Organization;Sitting at the confluence of several fiber optic backbones, the Exodus plant will consume enough power for a small town and eventually house Internet servers for firms such as Avenue A,;64;70;Exodus
Product;Sitting at the confluence of several fiber optic backbones, the Exodus plant will consume enough power for a small town and eventually house Internet servers for firms such as Avenue A,;97;102;power
Organization;Exodus is not the only company building massive data centers near Seattle.;0;6;Exodus
Location;Exodus is not the only company building massive data centers near Seattle.;66;73;Seattle
Organization;More than a dozen companies -- with names like AboveNet, Globix and HostPro -- are looking for facilities here that will house the networking equipment of the Internet economy.;47;55;AboveNet
Organization;More than a dozen companies -- with names like AboveNet, Globix and HostPro -- are looking for facilities here that will house the networking equipment of the Internet economy.;57;63;Globix
Organization;More than a dozen companies -- with names like AboveNet, Globix and HostPro -- are looking for facilities here that will house the networking equipment of the Internet economy.;68;75;HostPro
Location;Valley that some have expressed concern over whether Seattle City Light and Puget Sound Energy can handle the power necessary to run these 24-hour, high-security facilities.;53;60;Seattle
Organization;Valley that some have expressed concern over whether Seattle City Light and Puget Sound Energy can handle the power necessary to run these 24-hour, high-security facilities.;76;94;Puget Sound Energy
Product;Valley that some have expressed concern over whether Seattle City Light and Puget Sound Energy can handle the power necessary to run these 24-hour, high-security facilities.;110;115;power
Product;We are talking to about half a dozen customers that are requesting 445 megawatts of power in a little area near Southcenter Mall, said Karl Karzmar, manager of revenue requirements for Puget Sound Energy. ;84;89;power
Organization;We are talking to about half a dozen customers that are requesting 445 megawatts of power in a little area near Southcenter Mall, said Karl Karzmar, manager of revenue requirements for Puget Sound Energy. ;185;203;Puget Sound Energy
Organization;Puget Sound Energy last week asked the Washington Utilities and Transportation Commission to accept a tariff on the new data centers.;0;18;Puget Sound Energy
Time;Puget Sound Energy last week asked the Washington Utilities and Transportation Commission to accept a tariff on the new data centers.;24;28;week
Organization;Puget Sound Energy last week asked the Washington Utilities and Transportation Commission to accept a tariff on the new data centers.;39;59;Washington Utilities
Organization;Puget Sound Energy last week asked the Washington Utilities and Transportation Commission to accept a tariff on the new data centers.;64;89;Transportation Commission
Money;Those base stations could cost as much as $20 million each, Karzmar said.;42;53;$20 million
Location;Not to be left behind, Seattle City Light plans to bring up the data center issue on Thursday at the Seattle City Council meeting.;23;30;Seattle
Time;Not to be left behind, Seattle City Light plans to bring up the data center issue on Thursday at the Seattle City Council meeting.;85;93;Thursday
Location;Not to be left behind, Seattle City Light plans to bring up the data center issue on Thursday at the Seattle City Council meeting.;101;108;Seattle
Product;For the utilities that provide power to homes, businesses and schools in the region, this is a new and complex issue.;31;36;power
Product;On one hand, the data centers -- with their amazing appetite for power -- represent potentially lucrative business customers.;65;70;power
Time;The facilities run 24 hours a day, seven days a week, and therefore could become a constant revenue stream.;19;27;24 hours
Time;The facilities run 24 hours a day, seven days a week, and therefore could become a constant revenue stream.;48;52;week
Product;Who will pay for those expenditures and what it will mean for power rates in the area is still open to debate.;62;67;power
Location;These facilities are what we call extremely dense loads, said Bob Royer, director of communications and public affairs at Seattle City Light.;122;129;Seattle
Time;Sabey Corp. re-purchased the 1.35 million square-foot Intergate East facility last September from Boeing Space & Defense.;83;92;September
Time;In less than 12 months, the developer has leased 92 percent of the six-building complex to seven different co-location companies.;13;22;12 months
Organization;Exodus, ICG Communications,;0;6;Exodus
Organization;Exodus, ICG Communications,;8;26;ICG Communications
